"시점",출생아수(명)
"2000",640089
"2001",559934
"2002",496911
"2003",495036
"2004",476958
"2005",438707
"2006",451759
"2007",496822
"2008",465892
"2009",444849
"2010",470171
"2011",471265
"2012",484550
"2013",436455
"2014",435435
"2015",438420
"2016",406243
"2017",357771
"2018",326822
"2019",302676
"2020",272337
"2021",260562
